name_cn,name_en,level,type,parent_province_cn,is_provincial_capital,is_sub_provincial,notes,covered,our_docs,our_site_keys
郴州市,Chenzhou,prefecture,prefecture_city,湖南省,,,,,0,
永州市,Yongzhou,prefecture,prefecture_city,湖南省,,,,,0,
怀化市,Huaihua,prefecture,prefecture_city,湖南省,,,,Y,23,huaihua
娄底市,Loudi,prefecture,prefecture_city,湖南省,,,,,0,
湘西土家族苗族自治州,Xiangxi,prefecture,autonomous_prefecture,湖南省,,,,,0,
广州市,Guangzhou,prefecture,prefecture_city,广东省,Y,Y,省会,Y,3656,gz
韶关市,Shaoguan,prefecture,prefecture_city,广东省,,,,Y,1613,shaoguan
深圳市,Shenzhen,prefecture,prefecture_city,广东省,,Y,计划单列市,Y,1124,sz
珠海市,Zhuhai,prefecture,prefecture_city,广东省,,,,Y,3706,zhuhai
汕头市,Shantou,prefecture,prefecture_city,广东省,,,,Y,49,shantou
佛山市,Foshan,prefecture,prefecture_city,广东省,,,,,0,
江门市,Jiangmen,prefecture,prefecture_city,广东省,,,,Y,4410,jiangmen
湛江市,Zhanjiang,prefecture,prefecture_city,广东省,,,,Y,37,zhanjiang
茂名市,Maoming,prefecture,prefecture_city,广东省,,,,,0,maoming
肇庆市,Zhaoqing,prefecture,prefecture_city,广东省,,,,,0,zhaoqing
惠州市,Huizhou,prefecture,prefecture_city,广东省,,,,Y,3826,huizhou
梅州市,Meizhou,prefecture,prefecture_city,广东省,,,,,0,
汕尾市,Shanwei,prefecture,prefecture_city,广东省,,,,Y,3610,shanwei
河源市,Heyuan,prefecture,prefecture_city,广东省,,,,Y,3777,heyuan
阳江市,Yangjiang,prefecture,prefecture_city,广东省,,,,Y,2355,yangjiang
清远市,Qingyuan,prefecture,prefecture_city,广东省,,,,,0,
东莞市,Dongguan,prefecture,prefecture_city,广东省,,,,,0,
中山市,Zhongshan,prefecture,prefecture_city,广东省,,,,Y,5152,zhongshan
潮州市,Chaozhou,prefecture,prefecture_city,广东省,,,,,0,
揭阳市,Jieyang,prefecture,prefecture_city,广东省,,,,Y,5872,jieyang
云浮市,Yunfu,prefecture,prefecture_city,广东省,,,,Y,658,yunfu
海口市,Haikou,prefecture,prefecture_city,海南省,Y,,省会,,0,haikou
三亚市,Sanya,prefecture,prefecture_city,海南省,,,,,0,
三沙市,Sansha,prefecture,prefecture_city,海南省,,,,,0,
儋州市,Danzhou,prefecture,prefecture_city,海南省,,,省直辖,,0,
成都市,Chengdu,prefecture,prefecture_city,四川省,Y,Y,省会,,0,chengdu
自贡市,Zigong,prefecture,prefecture_city,四川省,,,,,0,
攀枝花市,Panzhihua,prefecture,prefecture_city,四川省,,,,,0,
泸州市,Luzhou,prefecture,prefecture_city,四川省,,,,,0,
德阳市,Deyang,prefecture,prefecture_city,四川省,,,,,0,
绵阳市,Mianyang,prefecture,prefecture_city,四川省,,,,,0,
广元市,Guangyuan,prefecture,prefecture_city,四川省,,,,,0,
遂宁市,Suining,prefecture,prefecture_city,四川省,,,,,0,
内江市,Neijiang,prefecture,prefecture_city,四川省,,,,,0,
乐山市,Leshan,prefecture,prefecture_city,四川省,,,,Y,102,leshan
南充市,Nanchong,prefecture,prefecture_city,四川省,,,,,0,
眉山市,Meishan,prefecture,prefecture_city,四川省,,,,,0,
宜宾市,Yibin,prefecture,prefecture_city,四川省,,,,,0,
广安市,Guang'an,prefecture,prefecture_city,四川省,,,,,0,
达州市,Dazhou,prefecture,prefecture_city,四川省,,,,,0,
雅安市,Yaan,prefecture,prefecture_city,四川省,,,,,0,
巴中市,Bazhong,prefecture,prefecture_city,四川省,,,,,0,
资阳市,Ziyang,prefecture,prefecture_city,四川省,,,,,0,
阿坝藏族羌族自治州,Ngawa,prefecture,autonomous_prefecture,四川省,,,,Y,65,abazhou
甘孜藏族自治州,Garze,prefecture,autonomous_prefecture,四川省,,,,,0,
凉山彝族自治州,Liangshan,prefecture,autonomous_prefecture,四川省,,,,,0,
贵阳市,Guiyang,prefecture,prefecture_city,贵州省,Y,,省会,,0,
六盘水市,Liupanshui,prefecture,prefecture_city,贵州省,,,,,0,
遵义市,Zunyi,prefecture,prefecture_city,贵州省,,,,,0,
安顺市,Anshun,prefecture,prefecture_city,贵州省,,,,,0,
毕节市,Bijie,prefecture,prefecture_city,贵州省,,,,,0,
铜仁市,Tongren,prefecture,prefecture_city,贵州省,,,,,0,
