bjd_tongzhou|Beijing Tongzhou District (北京通州区)|district|199
fj_yjt|福建省应急管理厅|provincial|197
fj_slt|福建省水利厅|provincial|196
fj_scjgj|福建省市场监督管理局(知识产权局)|provincial|191
fj_tjj|福建省统计局|provincial|191
fj_lyj|福建省林业局|provincial|191
js_kxjst|Jiangsu S&T Dept (江苏科技厅)|provincial|191
fj_jgswglj|福建省机关事务管理局|provincial|185
fj_swt|福建省商务厅|provincial|182
jcgov|晋城市|municipal|182
cppcc|CPPCC National Committee (全国政协)|central|180
fj_ybj|福建省医疗保障局|provincial|180
qinghai|Qinghai (青海省)|provincial|175
shenyang|Shenyang (沈阳市)|municipal|174
nhsa|National Healthcare Security Admin (国家医保局)|central|170
nx_nynct|Ningxia Agriculture & Rural Affairs Dept (宁夏农业农村厅)|provincial|170
njd_jiangning|Nanjing Jiangning District (南京江宁区)|district|168
fj_wjw|福建省卫生健康委员会|provincial|165
cnipa|National IP Administration (国家知识产权局)|central|165
bjd_daxing|Beijing Daxing District (北京大兴区)|district|162
fj_wb|福建省人民政府外事办公室网站|provincial|158
js_gxt|Jiangsu Industry & IT (江苏工信厅)|provincial|157
fj_wlt|福建省文化和旅游厅|provincial|155
fj_jyt|福建省教育厅|provincial|152
bjd_huairou|Beijing Huairou District (北京怀柔区)|district|151
js_jtyst|Jiangsu Transport (江苏交通厅)|provincial|149
bjd_dongcheng|Beijing Dongcheng District (北京东城区)|district|143
fj_nynct|福建省农业农村厅|provincial|141
caac|Civil Aviation Administration (中国民用航空局)|central|141
cq_tyj|重庆市体育局|provincial|139
cq_gxq|重庆高新技术产业开发区管理委员会|provincial|133
cq_sww|重庆市商务委员会|provincial|131
xizang|Tibet (西藏自治区)|provincial|126
fj_bb|中共福建省委机构编制委员会办公室|provincial|125
liuzhou|Liuzhou (柳州市)|municipal|121
nsfc|National Natural Science Foundation (国家自然科学基金委)|central|120
spc|Supreme People's Court (最高人民法院)|central|119
liaoyuan|Liaoyuan (辽源市)|municipal|119
dandong|丹东市|municipal|118
fj_gat|福建公安公众服务网|provincial|113
wuhu|芜湖市|municipal|113
suzhou_ah|Suzhou, Anhui (宿州市)|municipal|108
wuxi|无锡市|municipal|108
lvliang|吕梁市|municipal|105
leshan|乐山市|municipal|102
gdyjt|Guangdong Emergency Management Dept (应急管理厅)|provincial|100
hn_kjt|Hunan S&T Dept (湖南科技厅)|provincial|100
xjboz|博尔塔拉蒙古自治州|municipal|100
yc|伊春市|municipal|98
bjd_miyun|Beijing Miyun District (北京密云区)|district|97
saac|National Archives Administration (国家档案局)|central|97
bjd_pinggu|Beijing Pinggu District (北京平谷区)|district|96
shannan|Shannan (山南市)|municipal|96
js_sthjt|Jiangsu Ecology & Environment Dept (江苏生态环境厅)|provincial|95
sd_gxt|Shandong Industry & IT Dept (山东工信厅)|provincial|94
xlgl|锡林郭勒盟|municipal|94
xz_sti|Tibet Science & Technology Dept (西藏科技厅)|provincial|92
nx_jst|Ningxia Housing & Construction Dept (宁夏住建厅)|provincial|92
shb_yjj|Shanghai Emergency Management Bureau (上海市应急管理局)|municipal|91
nx_jtt|Ningxia Transport Dept (宁夏交通厅)|provincial|90
fj_tyj|福建省体育局|provincial|90
bjd_fengtai|Beijing Fengtai District (北京丰台区)|district|90
cnao|National Audit Office (审计署)|central|90
nx_whhlyt|Ningxia Culture & Tourism Dept (宁夏文旅厅)|provincial|88
xz_nynct|Tibet Agriculture & Rural Affairs Dept (西藏农业农村厅)|provincial|86
xz_swt|Tibet Commerce Dept (西藏商务厅)|provincial|85
nx_fzggw|Ningxia DRC (宁夏发改委)|provincial|85
cq_ws|重庆市万盛经济技术开发区管理委员会|provincial|85
xjyl|伊犁哈萨克自治州|municipal|85
njd_gulou|Nanjing Gulou District (南京鼓楼区)|district|84
nx_dofcom|Ningxia Commerce Dept (宁夏商务厅)|provincial|82
dangyuan|CPC Members Network (共产党员网)|central|81
cqd_yuzhong|Chongqing Yuzhong District (重庆渝中区)|district|81
hbqj|潜江市|municipal|81
nx_czt|Ningxia Finance Dept (宁夏财政厅)|provincial|80
jl_czt|Jilin Finance Dept (吉林财政厅)|provincial|80
bjb_sw|Beijing Water Authority (北京市水务局)|municipal|79
js_fzggw|Jiangsu DRC (江苏发改委)|provincial|77
sd_kjt|Shandong S&T Dept (山东科技厅)|provincial|77
nx_ylbz|Ningxia Healthcare Security Bureau (宁夏医保局)|provincial|76
cq_tjj|重庆市统计局|provincial|76
cas|Chinese Academy of Sciences (中国科学院)|central|76
whd_donghu|Wuhan East Lake High-Tech Zone (武汉东湖高新区)|district|75
natcm|National Administration of TCM (国家中医药管理局)|central|75
js_wjw|Jiangsu Health Commission (江苏卫健委)|provincial|75
shizuishan|石嘴山市|municipal|75
linxia|Linxia Hui Prefecture (临夏回族自治州)|municipal|74
nx_zrzyt|Ningxia Natural Resources Dept (宁夏自然资源厅)|provincial|73
jl_kjt|Jilin S&T Dept (吉林科技厅)|provincial|73
bjb_jtw|Beijing Transport Commission (北京市交通委)|municipal|73
bjb_wjw|Beijing Health Commission (北京市卫健委)|municipal|72
fuzhou_fj|Fuzhou (福州市)|municipal|72
tsinghua_aiig|Tsinghua AIIG (清华大学人工智能国际治理研究院)|research|71
xz_hrss|Tibet Human Resources & Social Security Dept (西藏人社厅)|provincial|71
whd_qiaokou|Wuhan Qiaokou District (武汉硚口区)|district|71
shb_stcsm|Shanghai S&T Commission (上海市科委)|municipal|71
hanzhong|Hanzhong (汉中市)|municipal|71
shijiazhuang|Shijiazhuang (石家庄市)|municipal|71
ganzhou|Ganzhou (赣州市)|municipal|71
sastind|State Admin for Sci-Tech & Industry for Nat'l Defense (国防科工局)|central|70
taian|泰安市|municipal|69
cq_jtysw|重庆市交通运输委员会|provincial|68
gdga|Guangdong Public Security Dept (公安厅)|provincial|67
bjd_fangshan|Beijing Fangshan District (北京房山区)|district|67
xjkz|克孜勒苏柯尔克孜自治州|municipal|67
nx_nxyjglt|Ningxia Emergency Management Dept (宁夏应急管理厅)|provincial|66
shuozhou_c2|朔州市|municipal|66
bjd_shijingshan|Beijing Shijingshan District (北京石景山区)|district|65
yantai|Yantai (烟台市)|municipal|65
abazhou|阿坝藏族羌族自治州|municipal|65
cq_czj|重庆市财政局|provincial|64
cq_jjxxw|重庆市经济和信息化委员会|provincial|63
hn_jyt|Hunan Education Dept (湖南教育厅)|provincial|62
changzhi|Changzhi (长治市)|municipal|62
