site_key,section,nav_links,arts_found,held_pct,raw_status,bucket,sample_url,decision
yangjiang,/zwgk/,2,0,0,needs_new_scraper,build_scraper,,build_scraper
cac,/yaowen/,5,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
chinalawtranslate,/wp-content/,5,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
wjw,/xxgk/,9,18,0,missing_have_scraper,crawl_now,https://wjw.sz.gov.cn/xxgk/zcfggfxwj/mybh_5/content/post_12747657.html,crawl_now
wjw,/wjtz/,6,23,0,missing_have_scraper,crawl_now,https://wjw.sz.gov.cn/wjtz/content/post_12211402.html,crawl_now
wjw,/2021gb/,4,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
wjw,/'+ content.url +'/,3,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
sz,/szsrmzfxxgk/,2,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
szlh,/zwgk/,49,29,0,missing_have_scraper,crawl_now,https://www.szlh.gov.cn/tzgg/content/post_12970929.html,crawl_now
szlh,/tzgg/,8,23,0,missing_have_scraper,crawl_now,https://www.szlh.gov.cn/tzgg/content/post_12970929.html,crawl_now
mee,/xxgk2018/,66,20,0,missing_have_scraper,crawl_now,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/t20251230_1139345.html,crawl_now
mee,/xxgk/,7,0,0,needs_new_scraper,build_scraper,,build_scraper
yunfu,/zwgk/,33,39,0,missing_have_scraper,crawl_now,https://www.yunfu.gov.cn/zwgk/tzgg/content/post_2039848.html,crawl_now
gdstats,/tjgb/,10,20,0,missing_have_scraper,crawl_now,http://stats.gd.gov.cn/tjgb/content/post_4919997.html,crawl_now
gdhsa,/zwgk/,10,23,0,missing_have_scraper,crawl_now,http://hsa.gd.gov.cn/zwgk/content/post_4955416.html,crawl_now
qingdao,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error _ssl.c:983: The handshake operation timed out>,sweep_unreliable
gdedu,/zwgknew/,32,49,0,missing_have_scraper,crawl_now,https://edu.gd.gov.cn/zwgknew/jyzcfg/zc/content/post_4921618.html,defer_body_fix
gdwjw,/zwgk/,3,42,0,missing_have_scraper,crawl_now,https://wsjkw.gd.gov.cn/phone/content/post_2164609.html,crawl_now
cq,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error timed out>,sweep_unreliable
moe,/jyb_xxgk/,18,4,0,missing_have_scraper,crawl_now,https://www.moe.gov.cn/jyb_sy/sy_wb/201301/t20130129_147290.html,crawl_now
gdjt,/zcwj_n/,30,22,0,missing_have_scraper,crawl_now,http://td.gd.gov.cn/contact/content/post_2635651.html,defer_body_fix
gdjt,/zwgk_n/,18,60,0,missing_have_scraper,crawl_now,http://td.gd.gov.cn/contact/content/post_2635651.html,defer_body_fix
gddrc,/gfxwj5633/,7,25,0,missing_have_scraper,crawl_now,https://drc.gd.gov.cn/gfxwj5633/content/post_4921838.html,crawl_now
gddrc,/zcjd5635/,7,25,0,missing_have_scraper,crawl_now,https://drc.gd.gov.cn/zcjd5635/content/post_4947200.html,crawl_now
gddrc,/zwgk5590/,2,97,0,missing_have_scraper,crawl_now,https://drc.gd.gov.cn/gzyw5618/content/post_4945635.html,crawl_now
qinghai,/xxgk/,8,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_lsj,/jggk/,6,9,0,missing_have_scraper,crawl_now,http://lsj.fujian.gov.cn/jggk/cszz/bgs/201801/t20180102_23756.htm,crawl_now
gdcom,/zwgk/,50,30,0,missing_have_scraper,crawl_now,http://com.gd.gov.cn/wzgn/gfwx/content/post_2200116.html,defer_body_fix
fujian,/zck/,2,0,0,needs_new_scraper,build_scraper,,build_scraper
zj,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error _ssl.c:983: The handshake operation timed out>,sweep_unreliable
gdnr,/zwgknew/,95,36,0,missing_have_scraper,crawl_now,https://nr.gd.gov.cn/zwgknew/tzgg/tz/content/post_4843841.html,defer_body_fix
