rank,normalized_ref,demand,kind,target_level,citation_types,inferred_issuer,inferred_institution,inferred_site,coverage_status
8425,深圳市行政事业性国有资产管理办法,3,title,municipal,named:3+llm:2,深府办,Shenzhen (深圳),sz,have
8426,深圳市行政听证办法（深圳市人民政府令第157号）,3,title,municipal,llm:3,,Shenzhen (深圳),sz,have
8427,深圳市行政听证办法（深圳市人民政府令第342号修正）,3,title,municipal,llm:3,,Shenzhen (深圳),sz,have
8428,深圳市行政听证办法（深圳市政府令第342号）,3,title,municipal,llm:3,,Shenzhen (深圳),sz,have
8429,深圳市行政审批事项目录管理办法,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8430,深圳市行政执法案卷评查标准,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8431,深圳市行政机关制定规范性文件管理规定,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8432,深圳市行政机关制定规范性文件管理规定（市政府令第305号）,3,title,municipal,llm:3,,Shenzhen (深圳),sz,have
8433,深圳市行政调解实施办法（试行）,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8434,深圳市街道(镇)应急管理办公室规范化建设指引,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8435,深圳市财政委员会关于市级财政科研项目资金拨付的通知,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8436,深圳市财政委员会关于金融社保卡筹集信息化建设经费收缴管理有关事项的意见,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8437,深圳市财政委员会等部门关于扩大中等职业教育免学费政策范围进一步完善国家助学金制度的实施意见,3,title,central,named:3,,Shenzhen (深圳),sz,have
8438,深圳市财政局关于2020年深圳市政府集中采购目录等事项的通知,3,title,municipal,named:3+llm:1,,Shenzhen (深圳),sz,have
8439,深圳市财政局关于贯彻落实进一步加大政府采购支持中小企业力度有关事宜的通知,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8440,深圳市财政支持海绵城市建设实施方案（试行）,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8441,深圳市道路运输车辆第三方动态监控机构服务质量评价细则,3,title,municipal,named:3+llm:3,深交字,Shenzhen (深圳),sz,have
8442,深圳市重大事项社会稳定风险评估办法,3,title,municipal,named:3+llm:1,,Shenzhen (深圳),sz,have
8443,深圳市重大科技计划项目评审办法（试行）,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8444,深圳市重点企业研究院管理办法,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8445,深圳市重点物流企业认定管理暂行办法（深交规〔2023〕1号）,3,title,municipal,llm:3,深交规,Shenzhen (深圳),sz,have
8446,深圳市防台风预案,3,title,municipal,llm:3,,Shenzhen (深圳),sz,have
8447,深圳市防汛防旱防风指挥部办公室关于做好2026年度汛前准备工作的通知,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8448,深圳市高龄老人津贴实施细则（试行）,3,title,municipal,named:3+llm:1,,Shenzhen (深圳),sz,have
8449,深圳市鼓励总部企业发展暂行办法,3,title,municipal,named:3,,Shenzhen (深圳),sz,have
8450,深圳市鼓励总部企业高质量发展实施办法（深府规〔2021〕5号）,3,title,municipal,llm:3,深府规,Shenzhen (深圳),sz,have
8451,深圳市鼓励跨国公司设立总部企业办法（修订版）,3,title,municipal,llm:3,深府办规,Shenzhen (深圳),sz,have
8452,深圳市龙华区2022年赴外面向高校应届毕业生公开招聘事业单位工作人员公告,3,title,district,named:3,,Shenzhen (深圳),sz,have
8453,深圳市龙华区低空经济产业创新发展实施方案（2023—2025年）,3,title,district,named:3+llm:2,,Shenzhen (深圳),sz,have
8454,深圳市龙华区全面推行林长制的实施方案,3,title,district,named:3+llm:1,,Shenzhen (深圳),sz,have
8455,深圳市龙华区土地整备利益统筹项目补偿安置协议备案及项目监管操作规程,3,title,district,llm:3,深龙华更新整备,Shenzhen (深圳),sz,have
8456,深圳市龙华区提升行政执法质量三年行动实施计划（2023—2025年）,3,title,district,named:3+llm:1,,Shenzhen (深圳),sz,have
8457,深圳市龙华区科技创新专项资金实施细则（修订）操作规程（试行）,3,title,district,named:3,,Shenzhen (深圳),sz,have
8458,深圳市龙华区科技咨询专家委员会管理办法,3,title,district,named:3,,Shenzhen (深圳),sz,have
8459,深圳市龙华区行政调解与行政争议协调化解工作实施方案,3,title,district,named:3,,Shenzhen (深圳),sz,have
8460,深圳市龙岗区关于支持新技术新产品新服务推广应用的实施方案（试行）,3,title,district,named:3+llm:1,,Shenzhen (深圳),sz,have
8461,深圳市龙岗区文化广电旅游体育专项资金支持旅游产业发展实施细则,3,title,district,named:3,,Shenzhen (深圳),sz,have
8462,深圳市龙岗区科技创新专项资金实施细则,3,title,district,llm:3,深龙科规,Shenzhen (深圳),sz,have
8463,深圳市龙岗区经济与科技发展专项资金支持人力资源服务产业园发展实施细则,3,title,district,named:3,,Shenzhen (深圳),sz,have
8464,深圳市龙岗区经济与科技发展专项资金支持文化创意产业发展实施细则,3,title,district,named:3,,Shenzhen (深圳),sz,have
8465,深圳市龙岗区经济与科技发展专项资金管理办法（深龙府办规〔2017〕3号）,3,title,district,llm:3,深龙府办规,Shenzhen (深圳),sz,have
8466,深圳市龙岗区股份合作公司集体资产监督管理办法,3,title,district,named:3+llm:3,深龙府办规,Shenzhen (深圳),sz,have
8467,深圳市龙岗区街道执法绩效考评办法,3,title,district,named:3,,Shenzhen (深圳),sz,have
8468,深圳市龙岗区财政局关于加强区级财政专项资金管理的通知,3,title,district,named:3,,Shenzhen (深圳),sz,have
8469,深圳市龙岗区财政局关于开展2018 年度市对区专 项转移支付预算执行情况绩效自评工作的通知,3,title,district,named:3,,Shenzhen (深圳),sz,have
8470,深圳排水条例,3,title,municipal,llm:3,,unknown,,unknown
8471,深圳教育发展“十四五”规划,3,title,municipal,named:2+llm:1,,unknown,,unknown
8472,深圳文化创新发展2020（实施方案）,3,title,municipal,named:3,,unknown,,unknown
8473,深圳标准发展“十四五”规划,3,title,municipal,named:3+llm:2,,unknown,,unknown
8474,深圳湾超级总部基地 城市意象塑造专项规划专题,3,title,municipal,named:3,,unknown,,unknown
8475,深圳湾超级总部无障碍发展规划与系统布局设计规划,3,title,municipal,named:3,,unknown,,unknown
8476,深圳知名品牌评价规范,3,title,municipal,llm:3,,unknown,,unknown
8477,深圳经济特区前海蛇口自由贸易实验片区条例,3,title,unknown,named:3,,unknown,,unknown
8478,深圳经济特区在用机动车排气污染检测与强制维护实施办法,3,title,unknown,named:3,,unknown,,unknown
8479,深圳经济特区托育服务条例,3,title,unknown,named:3,,unknown,,unknown
8480,深圳经济特区无偿献血及血液管理条例,3,title,unknown,named:3,,unknown,,unknown
8481,深圳综合减灾社区创建实施方案（2021-2023年）,3,title,unknown,named:3,,unknown,,unknown
8482,深圳综合减灾社区创建标准化试点工作实施方案,3,title,unknown,named:3,,unknown,,unknown
8483,深圳高品质公共厕所建设与管理标准,3,title,municipal,named:3,,unknown,,unknown
8484,深圳高新区北区产业升级改造实施方案,3,title,unknown,named:3,,unknown,,unknown
8485,深坪督〔2022〕76号,3,formal,district,formal:3,深坪督,Shenzhen (深圳),sz,have
8486,深坪督〔2023〕62号,3,formal,district,formal:3,深坪督,Shenzhen (深圳),sz,have
8487,深城管规〔2023〕1号,3,formal,unknown,formal:3,深城管规,Shenzhen (深圳),sz,have
8488,深城管通〔2023〕233号,3,formal,unknown,formal:3,深城管通,Shenzhen (深圳),sz,have
8489,深委字〔2014〕20号,3,formal,unknown,formal:3,深委字,Shenzhen (深圳),sz,have
8490,深工信规〔2022〕7号,3,formal,unknown,formal:3,深工信规,Shenzhen (深圳),sz,have
8491,深工信规〔2024〕13号,3,formal,unknown,formal:3,深工信规,Shenzhen (深圳),sz,have
8492,深应急〔2021〕107号,3,formal,unknown,formal:3,深应急,Shenzhen (深圳),sz,have
8493,深应急〔2021〕32号,3,formal,unknown,formal:3,深应急,Shenzhen (深圳),sz,have
8494,深应急〔2022〕10号,3,formal,unknown,formal:3,深应急,Shenzhen (深圳),sz,have
8495,深应急〔2022〕20号,3,formal,unknown,formal:3,深应急,Shenzhen (深圳),sz,have
8496,深府〔2003〕64号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8497,深府〔2005〕175号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8498,深府〔2006〕106号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8499,深府〔2006〕20号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8500,深府〔2007〕1号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8501,深府〔2008〕42号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8502,深府〔2009〕233号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8503,深府〔2010〕108号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8504,深府〔2011〕165号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8505,深府〔2011〕175号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8506,深府〔2011〕48号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8507,深府〔2012〕104号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8508,深府〔2016〕14号,3,formal,municipal,formal:3,深府,Shenzhen (深圳),sz,have
8509,深府函〔2019〕63号,3,formal,municipal,formal:3,深府函,Shenzhen (深圳),sz,have
8510,深府办〔2006〕163号,3,formal,municipal,formal:3,深府办,Shenzhen (深圳),sz,have
8511,深府办〔2006〕189号,3,formal,municipal,formal:3,深府办,Shenzhen (深圳),sz,have
8512,深府办〔2007〕168号,3,formal,municipal,formal:3,深府办,Shenzhen (深圳),sz,have
8513,深府办〔2008〕14号,3,formal,municipal,formal:3,深府办,Shenzhen (深圳),sz,have
8514,深府办〔2010〕109号,3,formal,municipal,formal:3,深府办,Shenzhen (深圳),sz,have
8515,深府办〔2011〕3号,3,formal,municipal,formal:3,深府办,Shenzhen (深圳),sz,have
8516,深府办〔2018〕14号,3,formal,municipal,formal:3,深府办,Shenzhen (深圳),sz,have
8517,深府办函〔2014〕94号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8518,深府办函〔2015〕176号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8519,深府办函〔2018〕281号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8520,深府办函〔2018〕345号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8521,深府办函〔2018〕3号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8522,深府办函〔2020〕6号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8523,深府办函〔2021〕103号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8524,深府办函〔2022〕60号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8525,深府办函〔2022〕95号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8526,深府办函〔2023〕85号,3,formal,municipal,formal:3,深府办函,Shenzhen (深圳),sz,have
8527,深府办规〔2023〕2号,3,formal,municipal,formal:3,深府办规,Shenzhen (深圳),sz,have
8528,深府办规〔2023〕6号,3,formal,municipal,formal:3,深府办规,Shenzhen (深圳),sz,have
8529,深建市场〔2016〕7号,3,formal,municipal,formal:3,深建市场,Shenzhen (深圳),sz,have
8530,深建规〔2016〕2号,3,formal,municipal,formal:3,深建规,Shenzhen (深圳),sz,have
8531,深建规〔2017〕14号,3,formal,municipal,formal:3,深建规,Shenzhen (深圳),sz,have
8532,深建规〔2017〕5号,3,formal,municipal,formal:3,深建规,Shenzhen (深圳),sz,have
8533,深建规〔2018〕6号,3,formal,municipal,formal:4,深建规,Shenzhen (深圳),sz,have
8534,深建规〔2019〕4号,3,formal,municipal,formal:3,深建规,Shenzhen (深圳),sz,have
8535,深建规〔2020〕16号,3,formal,municipal,formal:3,深建规,Shenzhen (深圳),sz,have
8536,深教〔2011〕577号,3,formal,unknown,formal:3,深教,Shenzhen (深圳),sz,have
8537,深教〔2013〕199号,3,formal,unknown,formal:3,深教,Shenzhen (深圳),sz,have
8538,深教规〔2012〕3号,3,formal,unknown,formal:3,深教规,Shenzhen (深圳),sz,have
8539,深文改〔2016〕1号,3,formal,unknown,formal:3,深文改,Shenzhen (深圳),sz,have
8540,深民〔2011〕89号,3,formal,unknown,formal:3,深民,Shenzhen (深圳),sz,have
8541,深民函〔2016〕264号,3,formal,unknown,formal:3,深民函,Shenzhen (深圳),sz,have
8542,深民规〔2016〕5号,3,formal,unknown,formal:3,深民规,Shenzhen (深圳),sz,have
8543,深民规〔2018〕1号,3,formal,unknown,formal:3,深民规,Shenzhen (深圳),sz,have
8544,深民规〔2021〕2号,3,formal,unknown,formal:3,深民规,Shenzhen (深圳),sz,have
8545,深港法律合作安排,3,title,unknown,llm:3,,unknown,,unknown
8546,深环规〔2022〕1号,3,formal,unknown,formal:3,深环规,Shenzhen (深圳),sz,have
8547,深科技创新〔2017〕278号,3,formal,unknown,formal:3,深科技创新,Shenzhen (深圳),sz,have
8548,深科技创新〔2021〕155号,3,formal,unknown,formal:3,深科技创新,Shenzhen (深圳),sz,have
8549,深科技创新〔2022〕66号,3,formal,unknown,formal:3,深科技创新,Shenzhen (深圳),sz,have
8550,深科技创新规〔2021〕5号,3,formal,unknown,formal:3,深科技创新规,Shenzhen (深圳),sz,have
8551,深编〔2019〕34号,3,formal,unknown,formal:3,深编,Shenzhen (深圳),sz,have
8552,深编〔2021〕59号,3,formal,unknown,formal:3,深编,Shenzhen (深圳),sz,have
8553,深规土〔2010〕668号,3,formal,municipal,formal:3,深规土,Shenzhen (深圳),sz,have
8554,深规土〔2015〕588号,3,formal,municipal,formal:3,深规土,Shenzhen (深圳),sz,have
8555,深规土〔2018〕949号,3,formal,municipal,formal:3,深规土,Shenzhen (深圳),sz,have
8556,深财会〔2016〕45号,3,formal,unknown,formal:3,深财会,Shenzhen (深圳),sz,have
8557,深财发保〔2022〕10号,3,formal,unknown,formal:3,深财发保,Shenzhen (深圳),sz,have
8558,深财教〔2013〕34号,3,formal,unknown,formal:3,深财教,Shenzhen (深圳),sz,have
8559,深财科〔2010〕173号,3,formal,unknown,formal:3,深财科,Shenzhen (深圳),sz,have
8560,深财科〔2012〕1号,3,formal,unknown,formal:3,深财科,Shenzhen (深圳),sz,have
8561,深财科〔2018〕78号,3,formal,unknown,formal:3,深财科,Shenzhen (深圳),sz,have
8562,深财规〔2014〕8号,3,formal,unknown,formal:3,深财规,Shenzhen (深圳),sz,have
8563,深财规〔2015〕12号,3,formal,unknown,formal:3,深财规,Shenzhen (深圳),sz,have
8564,深财购[2018]27号,3,title,unknown,llm:3,深财购,Shenzhen (深圳),sz,have
8565,深财购〔2018〕28号,3,formal,unknown,formal:3,深财购,Shenzhen (深圳),sz,have
8566,深财资〔2017〕17号,3,formal,unknown,formal:3,深财资,Shenzhen (深圳),sz,have
8567,深超总夜景灯光专项规划,3,title,unknown,named:4,,unknown,,unknown
8568,深鹏办规〔2022〕1号,3,formal,unknown,formal:3,深鹏办规,Shenzhen (深圳),sz,have
8569,深鹏办规〔2023〕15号,3,formal,unknown,formal:3,深鹏办规,Shenzhen (深圳),sz,have
8570,深鹏办规〔2023〕3号,3,formal,unknown,formal:3,深鹏办规,Shenzhen (深圳),sz,have
8571,深鹏办规〔2023〕4号,3,formal,unknown,formal:3,深鹏办规,Shenzhen (深圳),sz,have
8572,深鹏发财〔2020〕191号,3,formal,unknown,formal:3,深鹏发财,Shenzhen (深圳),sz,have
8573,深鹏发财〔2022〕240号,3,formal,unknown,formal:3,深鹏发财,Shenzhen (深圳),sz,have
8574,深鹏发财规〔2020〕3号,3,formal,unknown,formal:3,深鹏发财规,Shenzhen (深圳),sz,have
8575,深鹏城整〔2021〕74号,3,formal,unknown,formal:3,深鹏城整,Shenzhen (深圳),sz,have
8576,深鹏应急〔2025〕20号,3,formal,unknown,formal:3,深鹏应急,Shenzhen (深圳),sz,have
8577,深鹏管〔2022〕7号,3,formal,unknown,formal:3,深鹏管,Shenzhen (深圳),sz,have
8578,深鹏统建〔2023〕3号,3,formal,unknown,formal:3,深鹏统建,Shenzhen (深圳),sz,have
8579,深龙华办〔2013〕83号,3,formal,district,formal:3,深龙华办,Shenzhen (深圳),sz,have
8580,深龙华办〔2014〕65号,3,formal,district,formal:3,深龙华办,Shenzhen (深圳),sz,have
8581,深龙华府办规〔2017〕3号,3,formal,district,formal:3,深龙华府办规,Shenzhen (深圳),sz,have
8582,深龙华府办规〔2019〕7号,3,formal,district,formal:3,深龙华府办规,Shenzhen (深圳),sz,have
8583,深龙华府办规〔2019〕8号,3,formal,district,formal:3,深龙华府办规,Shenzhen (深圳),sz,have
8584,深龙华府办规〔2020〕5号,3,formal,district,formal:3,深龙华府办规,Shenzhen (深圳),sz,have
8585,深龙华府办规〔2020〕8号,3,formal,district,formal:3,深龙华府办规,Shenzhen (深圳),sz,have
8586,深龙华府办规〔2020〕9号,3,formal,district,formal:3,深龙华府办规,Shenzhen (深圳),sz,have
8587,深龙华府办规〔2021〕5号,3,formal,district,formal:3,深龙华府办规,Shenzhen (深圳),sz,have
8588,深龙华府规〔2018〕3号,3,formal,district,formal:3,深龙华府规,Shenzhen (深圳),sz,have
8589,深龙华府规〔2019〕3号,3,formal,district,formal:3,深龙华府规,Shenzhen (深圳),sz,have
8590,深龙华府规〔2019〕5号,3,formal,district,formal:3,深龙华府规,Shenzhen (深圳),sz,have
8591,深龙华文规〔2022〕1号,3,formal,district,formal:3,深龙华文规,Shenzhen (深圳),sz,have
8592,深龙华民规〔2022〕4号,3,formal,district,formal:3,深龙华民规,Shenzhen (深圳),sz,have
8593,深龙城更〔2018〕129号,3,formal,district,formal:3,深龙城更,Shenzhen (深圳),sz,have
8594,深龙府办〔2017〕23号,3,formal,district,formal:3,深龙府办,Shenzhen (深圳),sz,have
8595,深龙府办规〔2018〕1号,3,formal,district,formal:3,深龙府办规,Shenzhen (深圳),sz,have
8596,深龙民规〔2020〕3号,3,formal,district,formal:3,深龙民规,Shenzhen (深圳),sz,have
8597,深龙科规〔2022〕3号,3,formal,district,formal:3,深龙科规,Shenzhen (深圳),sz,have
8598,清理整合省级财政专项资金实施方案,3,title,provincial,named:3,,province:清理整合省,,unknown
8599,清算资金通知清单,3,title,unknown,named:3,,unknown,,unknown
8600,渔业港航监督行政处罚规定,3,title,unknown,named:3,,unknown,,unknown
8601,渔业航标管理办法,3,title,unknown,named:3,,unknown,,unknown
8602,渝中区优化营商环境专项行动方案（2024—2027年）,3,title,unknown,named:3,,unknown,,unknown
8603,渝中区环重医大健康产业园三年行动计划（2025—2027年）,3,title,unknown,named:3,,unknown,,unknown
8604,渝中区算力经济发展三年行动计划（2025—2027年）,3,title,unknown,named:4,,unknown,,unknown
8605,渝交科〔2022〕18号,3,formal,unknown,formal:3,渝交科,Chongqing (重庆),cq,have
8606,渝办发〔1999〕40号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8607,渝办发〔2000〕37号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8608,渝办发〔2002〕118号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8609,渝办发〔2003〕129号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8610,渝办发〔2003〕166号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8611,渝办发〔2003〕187号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8612,渝办发〔2004〕136号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8613,渝办发〔2004〕141号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8614,渝办发〔2004〕152号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8615,渝办发〔2004〕201号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8616,渝办发〔2004〕2号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8617,渝办发〔2004〕321号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8618,渝办发〔2004〕44号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8619,渝办发〔2004〕68号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8620,渝办发〔2005〕141号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8621,渝办发〔2005〕171号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8622,渝办发〔2005〕189号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8623,渝办发〔2005〕269号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8624,渝办发〔2005〕62号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8625,渝办发〔2006〕14号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8626,渝办发〔2006〕192号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8627,渝办发〔2006〕205号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8628,渝办发〔2006〕28号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8629,渝办发〔2007〕134号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8630,渝办发〔2007〕167号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8631,渝办发〔2007〕296号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8632,渝办发〔2008〕136号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8633,渝办发〔2008〕14号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8634,渝办发〔2008〕227号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8635,渝办发〔2008〕231号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8636,渝办发〔2008〕266号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8637,渝办发〔2008〕290号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8638,渝办发〔2008〕296号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8639,渝办发〔2008〕297号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8640,渝办发〔2008〕372号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8641,渝办发〔2008〕50号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8642,渝办发〔2009〕118号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8643,渝办发〔2010〕283号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8644,渝办发〔2011〕229号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8645,渝办发〔2012〕152号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8646,渝办发〔2012〕267号,3,formal,unknown,formal:3,渝办发,Chongqing (重庆),cq,have
8647,渝医保发〔2020〕55号,3,formal,unknown,formal:3,渝医保发,Chongqing (重庆),cq,have
8648,渝医保发〔2024〕48号,3,formal,unknown,formal:3,渝医保发,Chongqing (重庆),cq,have
8649,渝司发〔2025〕11号,3,formal,unknown,formal:3,渝司发,Chongqing (重庆),cq,have
8650,渝国资发〔2018〕12号,3,formal,unknown,formal:3,渝国资发,Chongqing (重庆),cq,have
8651,渝国资发〔2019〕19号,3,formal,unknown,formal:3,渝国资发,Chongqing (重庆),cq,have
8652,渝委发〔2021〕4号,3,formal,unknown,formal:3,渝委发,Chongqing (重庆),cq,have
8653,渝府〔1998〕166号,3,formal,unknown,formal:3,渝府,Chongqing (重庆),cq,have
8654,渝府〔1999〕107号,3,formal,unknown,formal:3,渝府,Chongqing (重庆),cq,have
8655,渝府办发〔2019〕114号,3,formal,unknown,formal:3,渝府办发,Chongqing (重庆),cq,have
8656,渝府办发〔2023〕17号,3,formal,unknown,formal:3,渝府办发,Chongqing (重庆),cq,have
8657,渝府办发〔2024〕27号,3,formal,unknown,formal:3,渝府办发,Chongqing (重庆),cq,have
8658,渝府办发〔2024〕72号,3,formal,unknown,formal:3,渝府办发,Chongqing (重庆),cq,have
8659,渝府发〔1999〕58号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8660,渝府发〔2000〕41号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8661,渝府发〔2000〕42号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8662,渝府发〔2000〕53号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8663,渝府发〔2001〕110号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8664,渝府发〔2001〕3号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8665,渝府发〔2002〕56号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8666,渝府发〔2002〕60号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8667,渝府发〔2002〕68号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8668,渝府发〔2002〕73号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8669,渝府发〔2002〕79号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8670,渝府发〔2003〕10号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8671,渝府发〔2004〕2号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8672,渝府发〔2004〕70号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8673,渝府发〔2004〕78号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8674,渝府发〔2004〕80号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8675,渝府发〔2004〕84号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8676,渝府发〔2004〕86号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8677,渝府发〔2005〕116号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8678,渝府发〔2005〕20号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8679,渝府发〔2005〕27号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8680,渝府发〔2005〕36号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8681,渝府发〔2005〕40号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8682,渝府发〔2005〕43号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8683,渝府发〔2005〕4号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8684,渝府发〔2005〕6号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8685,渝府发〔2005〕81号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8686,渝府发〔2005〕84号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8687,渝府发〔2005〕85号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8688,渝府发〔2005〕90号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8689,渝府发〔2005〕99号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8690,渝府发〔2006〕128号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8691,渝府发〔2006〕130号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8692,渝府发〔2006〕144号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
8693,渝府发〔2006〕50号,3,formal,unknown,formal:3,渝府发,Chongqing (重庆),cq,have
