rank,normalized_ref,demand,kind,target_level,citation_types,inferred_issuer,inferred_institution,inferred_site,coverage_status
123,中共中央国务院关于全面加强生态环境保护坚决打好污染防治攻坚战的意见,40,title,central,named:40+llm:2,,CPC Central Committee (中共中央),,party
124,中共中央国务院关于实施乡村振兴战略的意见,40,title,central,named:42+llm:6,,CPC Central Committee (中共中央),,party
125,中共中央国务院关于深化投融资体制改革的意见,40,title,central,named:44+llm:3,中发,CPC Central Committee (中共中央),,party
126,市管干部任前公示办法,40,title,unknown,named:40+llm:9,,unknown,,unknown
127,粤发〔2009〕8号,40,formal,provincial,formal:40,粤发,Guangdong (广东),gd,have
128,财政部关于做好公共租赁住房和廉租住房并轨运行有关财政工作的通知,39,title,unknown,named:39+llm:9,财综,Ministry of Finance (财政部),,have
129,中共中央国务院关于进一步深化电力体制改革的若干意见,38,title,central,named:44,,CPC Central Committee (中共中央),,party
130,中共广州市委广州市人民政府关于印发〈广州市人民政府机构改革方案〉、〈广州市人民政府机构改革方案实施意见〉的通知,38,title,unknown,named:38,,unknown,,unknown
131,使用广东省政府网信息推送方案的说明,38,title,provincial,named:38,,province:使用广东省,,unknown
132,关于深化职称制度改革的意见,38,title,unknown,named:36+llm:2,,unknown,,unknown
133,北京城市总体规划(2016年-2035年),38,title,unknown,named:38+llm:1,,city:北京城市,,unknown
134,国家体育锻炼标准,38,title,central,named:37+llm:1,,unknown,,unknown
135,民办非企业单位年度检查办法,38,title,unknown,named:38+llm:15,,unknown,,unknown
136,海行规发〔2018〕9号,38,formal,unknown,formal:38,海行规发,issuer:海行规发,,unknown
137,道路交通安全违法行为处理程序规定（公安部令105号）,38,title,unknown,llm:38,,Ministry of Public Security (公安部),,blocked
138,中发〔2009〕6号,37,formal,central,formal:37,中发,CPC Central Committee (中共中央),,party
139,党政主要负责人履行推进法治建设第一责任人职责规定,37,title,unknown,named:37+llm:8,,unknown,,unknown
140,深圳市人民政府重大行政决策程序规定,37,title,municipal,named:37+llm:6,,Shenzhen (深圳),sz,have
141,福建省建设工程消防设计审查验收技术专家库管理办法,37,title,provincial,named:37,,Fujian (福建),fujian,have
142,中共广东省委广东省人民政府关于建设卫生强省的决定,36,title,provincial,named:36,,province:中共广东省,,unknown
143,中办发〔2016〕8号,36,formal,central,formal:36,中办发,CPC Central Committee General Office (中共中央办公厅),,party
144,国家“十二五”科学和技术发展规划,36,title,central,named:34+llm:3,,unknown,,unknown
145,国家税务总局公告2022年第14号,36,title,central,llm:36,,State Taxation Administration (税务总局),,have
146,粤发〔2015〕15号,36,formal,provincial,formal:36,粤发,Guangdong (广东),gd,have
147,通用数据保护条例,36,title,unknown,named:36,,unknown,,unknown
148,道路运输管理工作规范,36,title,unknown,llm:36,,unknown,,unknown
149,政府投资条例（国务院令第712号）,35,title,central,llm:35,,unknown,,unknown
150,横琴总体发展规划,35,title,unknown,named:35+llm:1,,unknown,,unknown
151,财政部 国家发展改革委关于开展节能产品惠民工程的通知（财建[2009]213号）,35,title,central,llm:35,财建,Ministry of Finance (财政部),,have
152,中发〔2015〕9号,34,formal,central,formal:34,中发,CPC Central Committee (中共中央),,party
153,国务院关于加强文化遗产保护的通知,34,title,central,named:34,,State Council (国务院),,have
154,建设项目选址意见书,34,title,unknown,named:34,,unknown,,unknown
155,企业在线申请用房操作指南,33,title,unknown,named:33,,unknown,,unknown
156,国发〔2005〕38号,33,formal,central,formal:33,国发,State Council (国务院),,have
157,大鹏新区杰出人才和高层次人才奖励补贴操作规程,33,title,district,llm:33,,unknown,,unknown
158,标准立项反馈意见表,33,title,unknown,named:33,,unknown,,unknown
159,统计违纪违法责任人处分处理建议办法,33,title,unknown,named:32+llm:4,,unknown,,unknown
160,中共中央国务院关于学前教育深化改革规范发展的若干意见,32,title,central,named:32+llm:4,,CPC Central Committee (中共中央),,party
161,关于进一步做好公务员考试录用体检工作的通知,32,title,unknown,named:32+llm:1,,unknown,,unknown
162,商标法实施条例,32,title,unknown,named:28+llm:12,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
163,国发〔2005〕42号,32,formal,central,formal:32,国发,State Council (国务院),,have
164,食品安全国家标准食品生产通用卫生规范,32,title,central,named:32+llm:15,,unknown,,unknown
165,中山市城市总体规划（2010-2020年）,31,title,unknown,named:30+llm:1,,Zhongshan (中山),zhongshan,have
166,关于加快推进生态文明建设的意见,31,title,unknown,named:31+llm:7,,unknown,,unknown
167,城镇污水处理厂污染物排放标准,31,title,unknown,named:37,,unknown,,unknown
168,大鹏新区新引进人才配套租房和生活补贴操作规程,31,title,district,llm:31,,unknown,,unknown
169,市规划和自然资源局关于做好城市更新项目历史遗留违法建筑物业权利人核实有关工作的通知,31,title,unknown,named:31+llm:2,,unknown,,unknown
170,广东省司法厅关于律师事务所年度检查考核的实施细则,31,title,provincial,named:31+llm:24,粤司规,Guangdong (广东),gd,have
171,强制性国家标准反馈意见表,31,title,central,named:31,,unknown,,unknown
172,社会保险基金财务制度,31,title,unknown,named:31,,unknown,,unknown
173,粤司规〔2025〕1号,31,formal,unknown,formal:31,粤司规,Guangdong (广东),gd,have
174,韶市联〔2009〕18号,31,formal,unknown,formal:31,韶市联,Shaoguan (韶关),shaoguan,have
175,上海市国民经济和社会发展第十四个五年规划和二〇三五年远景目标纲要,30,title,unknown,named:30,,Shanghai (上海),sh,have
176,人工智能能力建设普惠计划,30,title,unknown,named:30+llm:2,,unknown,,unknown
177,党政机关国内公务接待管理规定,30,title,unknown,named:32,,unknown,,unknown
178,关于在全党开展树立和践行正确政绩观学习教育的通知,30,title,unknown,named:30+llm:7,,unknown,,unknown
179,关于推进“三旧”改造促进节约集约用地的若干意见,30,title,unknown,named:30,,unknown,,unknown
180,深化国税、地税征管体制改革方案,30,title,unknown,named:30+llm:6,,unknown,,unknown
181,科技型中小企业评价服务工作指引,30,title,unknown,named:30+llm:5,国科火字,issuer:国科火字,,unknown
182,粤人社规〔2021〕34号,30,formal,unknown,formal:30,粤人社规,Guangdong (广东),gd,have
183,中共中央国务院关于加快水利改革发展的决定,29,title,central,named:29+llm:1,,CPC Central Committee (中共中央),,party
184,中共中央国务院关于建立国土空间规划体系并监督实施的若干意见,29,title,central,named:29+llm:4,,CPC Central Committee (中共中央),,party
